Type
Auto Fire Alarm
Automatic Fire Alarm Resd
Automatic Fire Dist 11
Bark Fire
Boat Fire In Marina
Boat Under 50' Fire Shore
Boat Under 50' Fire Water
Brush Fire
Brush Fire W/Exp.
Car Fire
Car Fire Freeway
Car Fire W/Exp.
Chimney Fire
Dumpster Fire
Dumpster Fire W/Exp.
Fire Response Freeway
Fire in Building
Fire in Single Family Res
Garage Fire
"Hang-Up, Fire"
Pier Fire
Rubbish Fire
Shed Fire
Ship Fire 50'on Shore/Pier
Train Derailment wFireHzmt
Tranformer Fire
Tunnel Fire
Vault Fire (Electrical)
