Type,Datetime,Latitude,Longitude,C_gauge,Off_Day
Auto Fire Alarm,2011-02-26,47.579463,-122.32998799999999,RG15,1
Auto Fire Alarm,2011-02-26,47.547465,-122.321451,RG16,1
Automatic Fire Alarm Resd,2011-02-26,47.557994,-122.265615,RG18,1
Auto Fire Alarm,2011-02-26,47.610719,-122.33561100000001,RG11,1
Automatic Fire Alarm Resd,2011-02-26,47.611727,-122.28824399999999,RG20_25,1
Auto Fire Alarm,2011-02-26,47.601663,-122.299917,RG20_25,1
Auto Fire Alarm,2011-02-26,47.611553,-122.311479,RG20_25,1
Auto Fire Alarm,2011-02-26,47.609232,-122.31806,RG20_25,1
Automatic Fire Alarm False,2011-02-26,47.661466,-122.30724199999999,RG03,1
Auto Fire Alarm,2011-02-26,47.663074,-122.30516399999999,RG03,1
Auto Fire Alarm,2011-02-26,47.614288,-122.336155,RG11,1
Auto Fire Alarm,2011-02-26,47.576994,-122.38671299999999,RG14,1
Auto Fire Alarm,2011-02-26,47.592105,-122.31728100000001,RG20_25,1
Rubbish Fire,2011-02-26,47.704066999999995,-122.320467,RG04,1
Automatic Fire Alarm False,2011-02-26,47.57889,-122.41145300000001,RG14,1
Chimney Fire,2011-02-26,47.723248999999996,-122.326231,RG01,1
Auto Fire Alarm,2011-02-26,47.727790999999996,-122.347725,RG01,1
Auto Fire Alarm,2011-02-26,47.605567,-122.316781,RG20_25,1
Auto Fire Alarm,2011-02-26,47.54887,-122.354722,RG15,1
Auto Fire Alarm,2011-02-26,47.636938,-122.344127,RG11,1
Auto Fire Alarm,2011-02-26,47.609232,-122.31806,RG20_25,1
Auto Fire Alarm,2011-02-26,47.612716,-122.345399,RG11,1
Automatic Fire Alarm Resd,2011-02-25,47.627294,-122.304773,RG20_25,0
Auto Fire Alarm,2011-02-25,47.676243,-122.3499,RG09,0
Auto Fire Alarm,2011-02-25,47.560584000000006,-122.288822,RG18,0
Auto Fire Alarm,2011-02-25,47.713747,-122.34483700000001,RG01,0
Auto Fire Alarm,2011-02-25,47.544171999999996,-122.37376699999999,RG05,0
Auto Fire Alarm,2011-02-25,47.604413,-122.329842,RG20_25,0
Auto Fire Alarm,2011-02-25,47.60171,-122.326351,RG20_25,0
Auto Fire Alarm,2011-02-25,47.608621,-122.320756,RG20_25,0
Auto Fire Alarm,2011-02-25,47.520967999999996,-122.34544199999999,RG17,0
Car Fire Freeway,2011-02-25,47.577176,-122.31966899999999,RG15,0
Car Fire Freeway,2011-02-25,47.643234,-122.323195,RG03,0
Automatic Fire Alarm False,2011-02-25,47.686802,-122.38769599999999,RG07,0
Auto Fire Alarm,2011-02-25,47.59348,-122.3904,RG14,0
Car Fire,2011-02-25,47.52648,-122.327803,RG17,0
Car Fire Freeway,2011-02-25,47.587138,-122.32015600000001,RG20_25,0
Automatic Fire Alarm Resd,2011-02-25,47.529669,-122.325534,RG16,0
Auto Fire Alarm,2011-02-25,47.665669,-122.300628,RG03,0
Automatic Fire Alarm Resd,2011-02-25,47.566271,-122.38008799999999,RG14,0
Automatic Fire Alarm Resd,2011-02-25,47.647254,-122.39024199999999,RG12,0
Auto Fire Alarm,2011-02-25,47.611702,-122.327301,RG20_25,0
Auto Fire Alarm,2011-02-25,47.594989,-122.32241100000002,RG20_25,0
Fire in Building,2011-02-25,47.606088,-122.33290900000001,RG20_25,0
Automatic Fire Alarm Resd,2011-02-25,47.643844,-122.415407,RG12,0
Automatic Fire Alarm False,2011-02-25,47.6141,-122.33395900000001,RG11,0
Auto Fire Alarm,2011-02-24,47.611702,-122.327301,RG20_25,0
Auto Fire Alarm,2011-02-24,47.597453,-122.32506200000002,RG20_25,0
Auto Fire Alarm,2011-02-24,47.600237,-122.30328999999999,RG20_25,0
Automatic Fire Alarm False,2011-02-24,47.609444,-122.33597900000001,RG11,0
Auto Fire Alarm,2011-02-24,47.594989,-122.32241100000002,RG20_25,0
Fire in Building,2011-02-24,47.690573,-122.391205,RG07,0
Auto Fire Alarm,2011-02-24,47.611259000000004,-122.32076,RG20_25,0
Auto Fire Alarm,2011-02-24,47.710657,-122.35549499999999,RG01,0
Auto Fire Alarm,2011-02-24,47.60739,-122.33256399999999,RG20_25,0
Auto Fire Alarm,2011-02-24,47.731128999999996,-122.345064,RG01,0
Auto Fire Alarm,2011-02-24,47.731128999999996,-122.345064,RG01,0
Auto Fire Alarm,2011-02-24,47.666542,-122.31418500000001,RG03,0
Auto Fire Alarm,2011-02-24,47.708661,-122.333692,RG01,0
Auto Fire Alarm,2011-02-24,47.609955,-122.328383,RG20_25,0
Auto Fire Alarm,2011-02-24,47.607797,-122.31938500000001,RG20_25,0
Auto Fire Alarm,2011-02-24,47.610986,-122.32356000000001,RG20_25,0
Auto Fire Alarm,2011-02-24,47.61483,-122.34500600000001,RG11,0
Auto Fire Alarm,2011-02-24,47.622263000000004,-122.31992,RG20_25,0
Dumpster Fire,2011-02-24,47.572932,-122.30856000000001,RG15,0
Automatic Fire Alarm Resd,2011-02-24,47.677701,-122.28708999999999,RG02,0
Auto Fire Alarm,2011-02-24,47.666542,-122.31418500000001,RG03,0
Automatic Fire Alarm Resd,2011-02-24,47.692077000000005,-122.390321,RG07,0
Car Fire,2011-02-24,47.562696,-122.38545500000001,RG14,0
Rubbish Fire,2011-02-23,47.60975,-122.33779299999999,RG11,0
Auto Fire Alarm,2011-02-23,47.6042,-122.32351000000001,RG20_25,0
Auto Fire Alarm,2011-02-23,47.601689,-122.314149,RG20_25,0
Auto Fire Alarm,2011-02-23,47.541498,-122.325546,RG16,0
Auto Fire Alarm,2011-02-23,47.574379,-122.33117,RG15,0
Automatic Fire Alarm False,2011-02-23,47.574265999999994,-122.32999099999999,RG15,0
Auto Fire Alarm,2011-02-23,47.610833,-122.33861100000001,RG11,0
Auto Fire Alarm,2011-02-23,47.570627,-122.341659,RG15,0
Auto Fire Alarm,2011-02-23,47.675281,-122.37961899999999,RG08,0
Auto Fire Alarm,2011-02-23,47.719716,-122.312678,RG01,0
Automatic Fire Alarm Resd,2011-02-23,47.652217,-122.33386499999999,RG03,0
Automatic Fire Alarm Resd,2011-02-23,47.593209,-122.28923999999999,RG20_25,0
Auto Fire Alarm,2011-02-23,47.696359,-122.344319,RG04,0
Auto Fire Alarm,2011-02-23,47.69607,-122.376796,RG07,0
Fire in Building,2011-02-23,47.670187,-122.387716,RG08,0
Automatic Fire Alarm Resd,2011-02-23,47.677719,-122.286018,RG02,0
Automatic Fire Alarm Resd,2011-02-23,47.714112,-122.31116000000002,RG04,0
Auto Fire Alarm,2011-02-23,47.615443,-122.324476,RG20_25,0
Auto Fire Alarm,2011-02-23,47.632356,-122.343433,RG11,0
Auto Fire Alarm,2011-02-23,47.513599,-122.290706,RG10_30,0
Automatic Fire Alarm Resd,2011-02-23,47.568071999999994,-122.31598500000001,RG15,0
Auto Fire Alarm,2011-02-23,47.632356,-122.343433,RG11,0
Automatic Fire Alarm Resd,2011-02-23,47.673524,-122.254853,RG02,0
Auto Fire Alarm,2011-02-23,47.607026,-122.28943999999998,RG20_25,0
Car Fire,2011-02-22,47.526235,-122.334405,RG17,0
Auto Fire Alarm,2011-02-22,47.661386,-122.340442,RG09,0
Fire in Single Family Res,2011-02-22,47.643457,-122.40841100000002,RG12,0
Automatic Fire Alarm Resd,2011-02-22,47.683289,-122.35508,RG09,0
Auto Fire Alarm,2011-02-22,47.573528,-122.32162199999999,RG15,0
Auto Fire Alarm,2011-02-22,47.668766,-122.313019,RG03,0
Auto Fire Alarm,2011-02-22,47.642096,-122.346383,RG11,0
Auto Fire Alarm,2011-02-22,47.675775,-122.30257900000001,RG04,0
Rubbish Fire,2011-02-22,47.538884,-122.282179,RG18,0
Rubbish Fire,2011-02-22,47.537042,-122.28129299999999,RG18,0
Auto Fire Alarm,2011-02-22,47.629577000000005,-122.357972,RG11,0
Auto Fire Alarm,2011-02-22,47.629577000000005,-122.357972,RG11,0
Automatic Fire Alarm Resd,2011-02-22,47.527906,-122.35641299999999,RG17,0
Automatic Fire Alarm Resd,2011-02-22,47.634741999999996,-122.361267,RG11,0
Automatic Fire Alarm False,2011-02-22,47.615227000000004,-122.321926,RG20_25,0
Fire in Single Family Res,2011-02-22,47.656943,-122.361135,RG09,0
Auto Fire Alarm,2011-02-22,47.69057,-122.397272,RG07,0
Automatic Fire Alarm Resd,2011-02-22,47.642588,-122.41228600000001,RG12,0
Chimney Fire,2011-02-22,47.547616999999995,-122.357111,RG15,0
Fire in Single Family Res,2011-02-22,47.560347,-122.36288200000001,RG15,0
Auto Fire Alarm,2011-02-22,47.610301,-122.327555,RG20_25,0
Rubbish Fire,2011-02-21,47.610214,-122.33668300000001,RG11,1
Automatic Fire Alarm False,2011-02-21,47.618693,-122.33425600000001,RG11,1
Auto Fire Alarm,2011-02-21,47.606881,-122.33363500000002,RG20_25,1
Auto Fire Alarm,2011-02-21,47.678556,-122.32683700000001,RG04,1
Auto Fire Alarm,2011-02-21,47.664952,-122.38010200000001,RG08,1
Auto Fire Alarm,2011-02-21,47.599232,-122.297343,RG20_25,1
Auto Fire Alarm,2011-02-21,47.656788,-122.34236999999999,RG09,1
Auto Fire Alarm,2011-02-21,47.600854,-122.32635400000001,RG20_25,1
Auto Fire Alarm,2011-02-21,47.616446,-122.311456,RG20_25,1
Auto Fire Alarm,2011-02-21,47.567178999999996,-122.325073,RG15,1
Car Fire Freeway,2011-02-21,47.60875,-122.330754,RG20_25,1
Auto Fire Alarm,2011-02-21,47.60828,-122.33474199999999,RG20_25,1
Auto Fire Alarm,2011-02-21,47.575083,-122.303329,RG20_25,1
Auto Fire Alarm,2011-02-21,47.725503,-122.355552,RG01,1
Auto Fire Alarm,2011-02-21,47.621107,-122.33715900000001,RG11,1
Car Fire,2011-02-21,47.566936,-122.28981200000001,RG18,1
Auto Fire Alarm,2011-02-21,47.658901,-122.315505,RG03,1
Auto Fire Alarm,2011-02-21,47.602114,-122.330809,RG20_25,1
Automatic Fire Alarm Resd,2011-02-21,47.548088,-122.37116499999999,RG15,1
Auto Fire Alarm,2011-02-21,47.614788,-122.342952,RG11,1
Auto Fire Alarm,2011-02-21,47.66167,-122.31956399999999,RG03,1
Automatic Fire Alarm Resd,2011-02-21,47.632148,-122.278553,RG20_25,1
Auto Fire Alarm,2011-02-21,47.675775,-122.30257900000001,RG04,1
Fire in Building,2011-02-21,47.70316,-122.325827,RG04,1
Auto Fire Alarm,2011-02-21,47.708888,-122.35548200000001,RG01,1
Auto Fire Alarm,2011-02-21,47.608434,-122.338125,RG11,1
Car Fire Freeway,2011-02-20,47.573037,-122.33939299999999,RG15,1
Auto Fire Alarm,2011-02-20,47.664393,-122.283353,RG02,1
Auto Fire Alarm,2011-02-20,47.664393,-122.283353,RG02,1
Auto Fire Alarm,2011-02-20,47.613261,-122.342352,RG11,1
Auto Fire Alarm,2011-02-20,47.663171999999996,-122.307216,RG03,1
Auto Fire Alarm,2011-02-20,47.604377,-122.325207,RG20_25,1
Car Fire,2011-02-20,47.604841,-122.324097,RG20_25,1
Auto Fire Alarm,2011-02-20,47.545435999999995,-122.38720900000001,RG05,1
Auto Fire Alarm,2011-02-20,47.675775,-122.30257900000001,RG04,1
Car Fire,2011-02-20,47.700539,-122.349621,RG07,1
Auto Fire Alarm,2011-02-20,47.573785,-122.290953,RG18,1
Auto Fire Alarm,2011-02-20,47.52101,-122.269997,RG10_30,1
Auto Fire Alarm,2011-02-20,47.675775,-122.30257900000001,RG04,1
Automatic Fire Alarm Resd,2011-02-20,47.692358,-122.337958,RG04,1
Rubbish Fire,2011-02-20,47.613209000000005,-122.338298,RG11,1
Auto Fire Alarm,2011-02-20,47.658519,-122.40248600000001,RG08,1
Automatic Fire Alarm Resd,2011-02-20,47.556494,-122.288997,RG18,1
Auto Fire Alarm,2011-02-20,47.594636,-122.29785,RG20_25,1
Auto Fire Alarm,2011-02-20,47.607296999999996,-122.327878,RG20_25,1
Automatic Fire Alarm Resd,2011-02-20,47.693976,-122.311846,RG04,1
Auto Fire Alarm,2011-02-19,47.719317,-122.29777299999999,RG04,1
Auto Fire Alarm,2011-02-19,47.649575,-122.36483799999999,RG09,1
Auto Fire Alarm,2011-02-19,47.608946,-122.33398899999999,RG20_25,1
Automatic Fire Alarm Resd,2011-02-19,47.545002000000004,-122.291531,RG18,1
Auto Fire Alarm,2011-02-19,47.628509,-122.37309199999999,RG11,1
Auto Fire Alarm,2011-02-19,47.642567,-122.376038,RG12,1
Auto Fire Alarm,2011-02-19,47.63325,-122.37956499999999,RG11,1
Auto Fire Alarm,2011-02-19,47.597970000000004,-122.328971,RG20_25,1
Auto Fire Alarm,2011-02-19,47.661332,-122.31428500000001,RG03,1
Auto Fire Alarm,2011-02-19,47.614973,-122.32858,RG20_25,1
Auto Fire Alarm,2011-02-19,47.584234,-122.299024,RG20_25,1
Automatic Fire Alarm False,2011-02-19,47.608053999999996,-122.32821000000001,RG20_25,1
Fire in Building,2011-02-19,47.612941,-122.30271,RG20_25,1
Auto Fire Alarm,2011-02-19,47.63325,-122.37944399999999,RG11,1
Automatic Fire Alarm False,2011-02-19,47.608053999999996,-122.32821000000001,RG20_25,1
Automatic Fire Alarm False,2011-02-19,47.541171000000006,-122.38725500000001,RG05,1
Auto Fire Alarm,2011-02-19,47.635954999999996,-122.37175800000001,RG11,1
Auto Fire Alarm,2011-02-19,47.731128999999996,-122.345064,RG01,1
Automatic Fire Alarm False,2011-02-19,47.615601,-122.32342299999999,RG20_25,1
Fire in Building,2011-02-19,47.540834999999994,-122.360844,RG17,1
Automatic Fire Alarm Resd,2011-02-19,47.637484,-122.34831100000001,RG11,1
Car Fire,2011-02-19,47.558240000000005,-122.27068500000001,RG18,1
Auto Fire Alarm,2011-02-18,47.686675,-122.298376,RG04,0
