Date,RG01,RG02,RG03,RG04,RG05,RG07,RG08,RG09,RG10_30,RG11,RG12,RG14,RG15,RG16,RG17,RG18,RG20_25
2016-08-31T00:00:00,0.34,0.03,0.03,0.22,0.04,0.14,0.09,0.17,0.02,0.12,0.13,0.06,0.01,0,0.04,0.08,0.03
2016-09-30T00:00:00,1.85,1.5,1.37,1.47,0.69,1.59,1.34,1.27,0.87,0.98,1.29,0.97,0.95,0,0.68,1.07,1.07
2016-10-31T00:00:00,10.53,10.4,9.86,9.92,9.74,10.45,9.19,9.14,10.37,9.76,10.32,11.03,10.34,10.36,8.1,10.51,11.13
2016-11-30T00:00:00,9.03,8.17,8.07,7.49,6.7,8.37,7.52,7.38,7.49,7.85,8.14,8.06,7.49,7.49,7.43,7.95,7.6
2016-12-31T00:00:00,4.54,3.75,3.69,4.19,3.32,4.21,3.92,4.16,3.74,3.4,3.78,3.89,3.7,3.74,3.67,3.93,3.7
2017-01-31T00:00:00,4.24,4.08,4.03,3.95,4.03,4.51,4,4.19,3.95,4.01,4.2,4.28,4.06,3.95,3.98,4.02,4.02
2017-02-28T00:00:00,8.36,8.52,8.18,8.11,8.49,8.08,7.9,8.45,9.63,8.91,8.64,9.1,8.71,8.84,8.2,8.76,9.43
2017-03-31T00:00:00,7.19,6.77,6.59,6.71,6.31,7,6.54,7.2,7.33,6.53,7.15,7.02,6.64,6.92,5.7,7.38,6.68
2017-04-30T00:00:00,4.84,4.07,3.98,4.32,3.03,4.66,3.75,4.58,4.1,4.44,4.34,3.92,3.52,3.94,3.22,4.31,4.23
2017-05-31T00:00:00,0,0,0.01,0.01,0,0,0,0.02,0.14,0.01,0,0.02,0.03,0.02,0.01,0.06,0
