Date,RG01,RG02,RG03,RG04,RG05,RG07,RG08,RG09,RG10_30,RG11,RG12,RG14,RG15,RG16,RG17,RG18,RG20_25
2007-02-28T00:00:00,1.6,1.75,1.92,1.77,1.26,1.4,1.63,1.87,3.16,1.48,1.57,1.54,1.54,2.22,2.12,2.75,1.91
2007-03-31T00:00:00,2.87,2.65,2.86,2.79,2,2.62,2.8,2.64,4.66,2.17,2.99,2.34,2.09,3.48,3.49,4.28,3.11
2007-04-30T00:00:00,0.16,0.02,0.59,1.38,0,0.95,0,0,0.55,0,0.77,0.79,0.05,0,0,0.96,1.62
2007-05-31T00:00:00,0,0,0,0.14,0.01,0.1,0.01,0,0.13,0,0.1,0.07,0,0.01,0.01,0.12,0.09
2007-06-30T00:00:00,0.6,0.51,0,0.15,0.63,0.5,0.37,0.47,1.15,0.39,0.34,0.46,0.53,0.63,0.63,0.64,0.15
2007-07-31T00:00:00,1.5,1.39,0.75,1.61,1.42,1.45,1.23,1.42,1.43,1.22,1.29,1.28,1.34,1.42,1.42,1.42,1.38
2007-08-31T00:00:00,1.05,1.06,0.88,1.11,1.16,1.04,0.75,0.88,1.14,0.66,0.78,0.97,0.94,1.16,1.16,1.23,0.88
2007-09-30T00:00:00,2.14,1.88,2.08,2.34,2.31,1.99,1.88,2.13,2.66,1.96,1.97,2.17,2.27,2.48,2.48,2.45,2.19
2007-10-31T00:00:00,3.28,2.65,2.69,2.95,2.1,3,2.5,2.79,3.55,2.25,3.04,2.71,2.6,2.7,2.7,2.69,2.45
2007-11-30T00:00:00,2.96,2.72,2.76,2.98,2.94,2.87,3.16,2.95,3.57,2.81,3.37,3.45,2.95,3.54,3.54,3.46,2.98
2007-12-31T00:00:00,10.53,9.32,9.83,10.03,9.59,9.96,9.31,9.99,9.37,9.46,10.49,10.91,9.32,10.68,10.68,9.5,9.47
2008-01-31T00:00:00,4.37,3.95,4.42,4.23,3.45,4.14,4.2,4.61,3.53,3.88,4.16,3.82,3.09,3.09,3.98,3.53,4.01
2008-02-29T00:00:00,1.46,1.4,1.39,1.51,0.94,1.24,1.2,1.37,1.39,0.93,1.01,1.04,1.11,1.17,1.37,1.39,1.43
2008-03-31T00:00:00,3.53,3.57,4.04,3.62,3.08,3.77,3.77,3.88,4.09,3.64,3.66,3.66,3.67,4.27,4.37,4.09,4.03
2008-04-30T00:00:00,2.85,2.16,2.25,2.76,1.65,2.53,2.15,2.25,1.71,1.87,1.81,1.82,1.74,1.59,2.23,1.71,1.97
2008-05-31T00:00:00,0.85,0.8,0.68,0.76,0.63,0.71,0.53,0.64,1.33,0.6,0.5,0.7,0.78,1.13,1.58,1.33,0.74
2008-06-30T00:00:00,2.12,1.81,1.68,2.21,1.57,2.1,1.78,1.95,1.64,1.85,2.09,1.43,1.29,1.87,2.01,1.64,2.07
2008-07-31T00:00:00,0.28,0.37,0.37,0.37,0.2,0.4,0.46,0.25,0.51,0.19,0.39,0.32,0.19,0.32,0.43,0.51,0.32
2008-08-31T00:00:00,3.16,3.04,3.14,3.4,2.65,3.17,2.86,3.15,3.49,2.73,3.18,2.97,2.74,3.01,3.43,3.49,3.5
2008-09-30T00:00:00,0.88,0.78,0.73,0.76,0.51,0.81,0.61,0.75,0.74,0.57,0.64,0.5,0.5,0.6,0.59,0.74,0.74
2008-10-31T00:00:00,2.15,2.43,2.27,2.3,2.08,1.99,1.82,2.18,2.18,1.87,2.01,2.27,2.01,1.98,2.33,2.18,2.43
2008-11-30T00:00:00,4.81,4.65,4.65,5.02,5.18,4.81,5.08,5.74,6.08,4.73,5.3,5.45,4.98,5.94,6.17,6.08,5.15
2008-12-31T00:00:00,4.76,4.11,4,4.77,3.96,3.85,3.68,4.03,3.94,3.14,3.63,3.46,3.04,4.06,4.31,3.94,3.89
2009-01-31T00:00:00,3.43,3.33,3.72,3.76,4.53,3.3,3.73,3.77,3.92,3.53,3.83,4.37,3.24,4.27,5.15,4.44,3.66
2009-02-28T00:00:00,2.04,2.07,1.82,2.11,1.4,1.8,1.86,2.1,1.75,1.61,1.78,1.59,1.42,1.88,1.63,1.86,1.69
2009-03-31T00:00:00,4.26,3.8,3.75,4.45,3.14,4.19,3.51,4.04,4.25,3.11,3.44,3.32,2.7,3.83,3.56,3.53,3.23
2009-04-30T00:00:00,2.75,2.86,2.97,3.08,2.96,2.73,2.79,3.34,3.67,2.43,2.67,2.97,2.41,2.86,2.99,3.18,2.87
2009-05-31T00:00:00,3.9,3.76,4.29,3.7,3.82,4.12,4.18,4.27,4.6,4.05,4.81,4.41,3.86,4.36,4.32,4.4,4.03
